departamento,valle_del_cauca,vias_departamentales_decreto,nombre_v_a_decreto_no_0216,sub_region,micro_region,municipios,categor_a,longitud_m,longitud_km,escarpado,monta_oso,ondulado,plano,destapado,afirmado,pavimento_asfaltico,tratamiento_superficial,pavimento_r_gido,placa_huella,pavimento_articulado,otro,bueno,regular,malo,p_simo,intransitable
54,VALLE DEL CAUCA,29VL04,CRUCE CENTRAL PEREIRA - MONTEZUMA - ULLOA,Norte,Norte - Cartago,Ulloa,2,8049.077206,8.049077206,2318.629482,520.2394969,2180.073066,3030.135161,47.17237864,4129.54764,2169.46149,0.0,626.2941624,1076.601535,0.0,0.0,1260.494274,5252.650245,1535.932687,0.0,0.0
55,VALLE DEL CAUCA,29VL05,ULLOA - CHAPINERO - LIMITE QUINDIO (VIA A FILANDIA),Norte,Norte - Cartago,Ulloa,2,4581.388744,4.581388744,1562.563979,226.0199991,647.0503833,2145.754383,0.0,3674.188362,0.0,0.0,17.71822736,889.4821544,0.0,0.0,888.7256747,2002.538143,1690.124926,0.0,0.0
56,VALLE DEL CAUCA,31VL01,FLORIDA - CHOCOCITO - TARRAGONA - PUENTE EL ORTIGAL,Sur,Sur - Palmira,Florida,2,14043.92325,14.04392325,0.0,0.0,103.4363722,13940.48688,0.0,201.9814665,13841.94178,0.0,0.0,0.0,0.0,0.0,3761.21295,9279.901989,904.7466471,98.06166113,0.0
57,VALLE DEL CAUCA,31VL05,AGUACLARA - LA BUITRERA,Sur,Sur - Palmira,Palmira,2,5477.725445,5.477725445,935.775261,417.6608494,1382.437847,2741.851487,0.0,209.5282498,5268.197195,0.0,0.0,0.0,0.0,0.0,4472.515001,1005.210444,0.0,0.0,0.0
58,VALLE DEL CAUCA,3201-1,KM 30 (BORRERO AYERBE) - EL CARMEN,Sur,Sur - Palmira,Dagua,3,3824.905357,3.824905357,956.656879,245.9349217,822.6654169,1799.64814,0.0,203.2222029,3621.683154,0.0,0.0,0.0,0.0,0.0,1514.975799,2206.7476,103.1819583,0.0,0.0
59,VALLE DEL CAUCA,3202A,CALI - CRUCE CANDELARIA,Sur,Sur - Palmira,Candelaria,1,17301.84761,17.30184761,4.77248906,25.33357529,66.17793303,17205.56361,0.0,206.946558,17094.90105,0.0,0.0,0.0,0.0,0.0,7596.464524,9705.383084,0.0,0.0,0.0
60,VALLE DEL CAUCA,3202B,CRUCE CANDELARIA - CRUCERO LA INDUSTRIA,Sur,Sur - Palmira,Florida - Candelaria,2,12004.94984,12.00494984,0.0,0.0,0.0,12004.94984,0.0,320.059417,3017.021262,0.0,8667.869157,0.0,0.0,0.0,627.6431753,9187.699092,2189.607569,0.0,0.0
61,VALLE DEL CAUCA,32VL01,CRUCE VIA 3201 - CRUCE RUTA 1901 (DAGUA),Sur,Sur - Cali,Dagua,2,9693.789982,9.693789982,2663.769976,760.5842111,1707.555113,4561.880682,0.0,9674.013958,19.77602389,0.0,0.0,0.0,0.0,0.0,1746.617568,7947.172414,0.0,0.0,0.0
62,VALLE DEL CAUCA,34VL01,TIENDA NUEVA - TABLONES - CEIBOS - PUENTE LAS AGUILAS,Sur,Sur - Palmira,Palmira,2,16046.18437,16.04618437,3668.069672,871.8754637,2226.766899,9279.472333,0.0,7326.723533,2642.920592,0.0,6044.580691,0.0,0.0,31.95955254,4132.851906,11410.21575,503.1167081,0.0,0.0
63,VALLE DEL CAUCA,4002A,URIBE - SEVILLA,Centro,Centro Tulua / Centro -  Sevilla,Bugalagrande - Sevilla,2,28863.32973,28.86332973,6202.608484,1204.144645,4847.088869,16609.48774,0.0,0.0,28863.32973,0.0,0.0,0.0,0.0,0.0,11062.91645,15502.61526,2297.798025,0.0,0.0
64,VALLE DEL CAUCA,4002A-1,SEVILLA - CAICEDONIA - LIMITE QUINDIO (RIO BARRAGAN)),Centro,Centro -  Sevilla - Caicedonia,Sevilla - Caicedonia,2,25526.46466,25.52646466,8234.926857,2468.793672,4091.016203,10731.72793,198.4466563,291.8978213,25036.12019,0.0,0.0,0.0,0.0,0.0,16063.23431,8126.301687,1336.928671,0.0,0.0
65,VALLE DEL CAUCA,40VL01,CUBA (CRUCE VIA 4002A-1) - ALAMBRADO,Centro,Centro -  Sevilla - Caicedonia,Sevilla - Caicedonia,2,9421.378664,9.421378664,1688.954694,624.4095145,1693.551638,5414.462817,0.0,0.0,9421.378664,0.0,0.0,0.0,0.0,0.0,4329.660834,3120.408565,1971.309265,0.0,0.0
66,VALLE DEL CAUCA,40VL02,COROZAL - SEVILLA,Centro,Centro -  Sevilla - Caicedonia,Sevilla,2,17951.90312,17.95190312,5322.87897,1235.270088,2594.751563,8799.002497,181.1325281,6728.807238,9224.886875,43.47713077,1668.323244,105.2761019,0.0,0.0,2314.964816,7847.648625,6810.540732,978.7489447,0.0
67,VALLE DEL CAUCA,40VL11,CRUCE RUTA 4001 - MADROÑAL - DARIEN,Centro,Centro - Buga,Calima Darien,2,18711.59073,18.71159073,3842.276903,975.286847,2788.169431,11105.85754,492.1111563,411.359812,17684.4796,123.6401596,0.0,0.0,0.0,0.0,3978.263324,14533.59427,199.7331366,0.0,0.0
68,VALLE DEL CAUCA,40VL12,DARIEN - JIGUALES - PUENTE TIERRA,Centro,Centro - Buga,Calima Darien,2,16542.52458,16.54252458,3313.891139,1073.410375,4339.635179,7815.587883,208.3843184,614.1548022,15719.98546,0.0,0.0,0.0,0.0,0.0,6579.40674,9963.117837,0.0,0.0,0.0
69,VALLE DEL CAUCA,40VL14,RESTREPO - CRUCE RUTA 4001,Centro,Centro - Buga,Restrepo,2,5238.753542,5.238753542,1761.990035,330.4146394,1425.384199,1720.964668,101.4969834,0.0,5137.256558,0.0,0.0,0.0,0.0,0.0,193.8976039,5044.855938,0.0,0.0,0.0
70,VALLE DEL CAUCA,40VL15,RESTREPO (CRUCE VIA 40VL14) - LOMA LARGA - CRUCE RUTA 4001,Centro,Centro - Buga,Restrepo - Calima,2,5509.106795,5.509106795,810.3635293,150.537908,497.8126261,4050.392731,100.0351396,0.0,5409.071655,0.0,0.0,0.0,0.0,0.0,0.0,5509.106795,0.0,0.0,0.0
71,VALLE DEL CAUCA,4802VL,CRUCE RUTA 2302 - ANSERMANUEVO - ALTO GALAPAGOS (LIMITE CHOCO),Norte,Norte -  Cartago,Ansermanuevo - Argelia - El Cairo,2,50883.89332,50.88389332,14895.24575,3531.307175,11392.11017,21065.23022,197.3472096,11679.75688,33303.61211,0.0,5703.177113,0.0,0.0,0.0,4284.982182,30717.79078,14410.30455,1470.815814,0.0
72,VALLE DEL CAUCA,48VL01,RAMAL EL CAIRO,Norte,Norte -  Cartago,El Cairo,2,15097.96077,15.09796077,5097.383181,917.3726569,2735.693641,6347.511289,0.0,291.6279969,14356.22092,0.0,450.1118539,0.0,0.0,0.0,8648.763908,4753.127001,1341.037218,355.0326402,0.0
